year	Acadia NP	Glacier NP	Grand Canyon NP	Grand Teton NP	Great Smoky Mountains NP	Olympic NP	Rocky Mountain NP	Yellowstone NP	Yosemite NP	Zion NP
2005	2051484	1925101	4401522	2463442	9192477	3142774	2798368	2835651	3304144	2586665
2006	2083588	1964399	4279439	2406476	9289215	2749197	2743676	2870295	3242644	2567350
2007	2202228	2083329	4413668	2588574	9372253	2988686	2895383	3151343	3503428	2657281
2008	2075857	1808027	4425314	2485987	9044010	3081451	2757390	3066580	3431514	2690154
2009	2227698	2031348	4348068	2580081	9491437	3276459	2822325	3295187	3737472	2735402
2010	2504208	2200048	4388386	2669374	9463538	2844563	2955821	3640185	3901408	2665972
2011	2374645	1853564	4298178	2587437	9008830	2966502	3176941	3394326	3951393	2825505
2012	2431052	2162035	4421352	2705256	9685829	2824908	3229617	3447729	3853404	2973607
2013	2254922	2190374	4564840	2688794	9354695	3085340	2991141	3188030	3691191	2807387
2014	2563129	2338528	4756771	2791392	10099276	3243872	3434751	3513484	3882642	3189696
