Park	State	Area	Year	Month	Recreation Visitors
Acadia NP	Maine	74 sq. miles	1995	1/1/1995	14894
Acadia NP	Maine	74 sq. miles	1995	2/1/1995	20510
Acadia NP	Maine	74 sq. miles	1995	3/1/1995	32120
Acadia NP	Maine	74 sq. miles	1995	4/1/1995	86198
Acadia NP	Maine	74 sq. miles	1995	5/1/1995	175550
Acadia NP	Maine	74 sq. miles	1995	6/1/1995	355270
Acadia NP	Maine	74 sq. miles	1995	7/1/1995	626947
Acadia NP	Maine	74 sq. miles	1995	8/1/1995	753799
Acadia NP	Maine	74 sq. miles	1995	9/1/1995	439553
Acadia NP	Maine	74 sq. miles	1995	10/1/1995	271606
Acadia NP	Maine	74 sq. miles	1995	11/1/1995	54121
Acadia NP	Maine	74 sq. miles	1995	12/1/1995	14810
Acadia NP	Maine	74 sq. miles	1996	1/1/1996	17655
Acadia NP	Maine	74 sq. miles	1996	2/1/1996	15576
Acadia NP	Maine	74 sq. miles	1996	3/1/1996	32452
Acadia NP	Maine	74 sq. miles	1996	4/1/1996	76597
Acadia NP	Maine	74 sq. miles	1996	5/1/1996	166290
Acadia NP	Maine	74 sq. miles	1996	6/1/1996	327723
Acadia NP	Maine	74 sq. miles	1996	7/1/1996	571017
Acadia NP	Maine	74 sq. miles	1996	8/1/1996	714090
Acadia NP	Maine	74 sq. miles	1996	9/1/1996	426562
Acadia NP	Maine	74 sq. miles	1996	10/1/1996	280577
Acadia NP	Maine	74 sq. miles	1996	11/1/1996	56828
Acadia NP	Maine	74 sq. miles	1996	12/1/1996	19464
Acadia NP	Maine	74 sq. miles	1997	1/1/1997	16292
Acadia NP	Maine	74 sq. miles	1997	2/1/1997	17230
Acadia NP	Maine	74 sq. miles	1997	3/1/1997	27035
Acadia NP	Maine	74 sq. miles	1997	4/1/1997	77005
Acadia NP	Maine	74 sq. miles	1997	5/1/1997	132194
Acadia NP	Maine	74 sq. miles	1997	6/1/1997	340064
Acadia NP	Maine	74 sq. miles	1997	7/1/1997	622847
Acadia NP	Maine	74 sq. miles	1997	8/1/1997	758140
Acadia NP	Maine	74 sq. miles	1997	9/1/1997	404808
Acadia NP	Maine	74 sq. miles	1997	10/1/1997	287171
Acadia NP	Maine	74 sq. miles	1997	11/1/1997	57810
Acadia NP	Maine	74 sq. miles	1997	12/1/1997	19710
Acadia NP	Maine	74 sq. miles	1998	1/1/1998	16726
Acadia NP	Maine	74 sq. miles	1998	2/1/1998	17028
Acadia NP	Maine	74 sq. miles	1998	3/1/1998	27500
Acadia NP	Maine	74 sq. miles	1998	4/1/1998	81896
Acadia NP	Maine	74 sq. miles	1998	5/1/1998	148052
Acadia NP	Maine	74 sq. miles	1998	6/1/1998	307208
Acadia NP	Maine	74 sq. miles	1998	7/1/1998	565477
Acadia NP	Maine	74 sq. miles	1998	8/1/1998	701097
Acadia NP	Maine	74 sq. miles	1998	9/1/1998	391378
Acadia NP	Maine	74 sq. miles	1998	10/1/1998	266138
Acadia NP	Maine	74 sq. miles	1998	11/1/1998	55225
Acadia NP	Maine	74 sq. miles	1998	12/1/1998	16772
Acadia NP	Maine	74 sq. miles	1999	1/1/1999	16430
Acadia NP	Maine	74 sq. miles	1999	2/1/1999	17162
Acadia NP	Maine	74 sq. miles	1999	3/1/1999	33688
Acadia NP	Maine	74 sq. miles	1999	4/1/1999	82993
Acadia NP	Maine	74 sq. miles	1999	5/1/1999	174610
Acadia NP	Maine	74 sq. miles	1999	6/1/1999	315980
Acadia NP	Maine	74 sq. miles	1999	7/1/1999	562996
Acadia NP	Maine	74 sq. miles	1999	8/1/1999	639073
Acadia NP	Maine	74 sq. miles	1999	9/1/1999	426024
Acadia NP	Maine	74 sq. miles	1999	10/1/1999	277644
Acadia NP	Maine	74 sq. miles	1999	11/1/1999	39416
Acadia NP	Maine	74 sq. miles	1999	12/1/1999	16211
Acadia NP	Maine	74 sq. miles	2000	1/1/2000	22500
Acadia NP	Maine	74 sq. miles	2000	2/1/2000	23848
Acadia NP	Maine	74 sq. miles	2000	3/1/2000	35423
Acadia NP	Maine	74 sq. miles	2000	4/1/2000	78555
Acadia NP	Maine	74 sq. miles	2000	5/1/2000	166456
Acadia NP	Maine	74 sq. miles	2000	6/1/2000	319208
Acadia NP	Maine	74 sq. miles	2000	7/1/2000	547929
Acadia NP	Maine	74 sq. miles	2000	8/1/2000	594904
Acadia NP	Maine	74 sq. miles	2000	9/1/2000	378135
Acadia NP	Maine	74 sq. miles	2000	10/1/2000	253626
Acadia NP	Maine	74 sq. miles	2000	11/1/2000	33693
Acadia NP	Maine	74 sq. miles	2000	12/1/2000	14961
Acadia NP	Maine	74 sq. miles	2001	1/1/2001	18090
Acadia NP	Maine	74 sq. miles	2001	2/1/2001	23926
Acadia NP	Maine	74 sq. miles	2001	3/1/2001	35473
Acadia NP	Maine	74 sq. miles	2001	4/1/2001	76007
Acadia NP	Maine	74 sq. miles	2001	5/1/2001	157353
Acadia NP	Maine	74 sq. miles	2001	6/1/2001	325242
Acadia NP	Maine	74 sq. miles	2001	7/1/2001	558641
Acadia NP	Maine	74 sq. miles	2001	8/1/2001	630240
Acadia NP	Maine	74 sq. miles	2001	9/1/2001	377456
Acadia NP	Maine	74 sq. miles	2001	10/1/2001	257280
Acadia NP	Maine	74 sq. miles	2001	11/1/2001	41353
Acadia NP	Maine	74 sq. miles	2001	12/1/2001	15490
Acadia NP	Maine	74 sq. miles	2002	1/1/2002	15309
Acadia NP	Maine	74 sq. miles	2002	2/1/2002	25071
Acadia NP	Maine	74 sq. miles	2002	3/1/2002	34498
Acadia NP	Maine	74 sq. miles	2002	4/1/2002	72528
Acadia NP	Maine	74 sq. miles	2002	5/1/2002	163145
Acadia NP	Maine	74 sq. miles	2002	6/1/2002	325441
Acadia NP	Maine	74 sq. miles	2002	7/1/2002	571119
Acadia NP	Maine	74 sq. miles	2002	8/1/2002	636824
Acadia NP	Maine	74 sq. miles	2002	9/1/2002	392531
Acadia NP	Maine	74 sq. miles	2002	10/1/2002	271312
Acadia NP	Maine	74 sq. miles	2002	11/1/2002	36589
Acadia NP	Maine	74 sq. miles	2002	12/1/2002	14205
Acadia NP	Maine	74 sq. miles	2003	1/1/2003	22917
Acadia NP	Maine	74 sq. miles	2003	2/1/2003	21993
Acadia NP	Maine	74 sq. miles	2003	3/1/2003	34274
Acadia NP	Maine	74 sq. miles	2003	4/1/2003	68444
Acadia NP	Maine	74 sq. miles	2003	5/1/2003	135443
Acadia NP	Maine	74 sq. miles	2003	6/1/2003	309230
Acadia NP	Maine	74 sq. miles	2003	7/1/2003	547836
Acadia NP	Maine	74 sq. miles	2003	8/1/2003	595191
Acadia NP	Maine	74 sq. miles	2003	9/1/2003	376060
Acadia NP	Maine	74 sq. miles	2003	10/1/2003	262412
Acadia NP	Maine	74 sq. miles	2003	11/1/2003	44294
Acadia NP	Maine	74 sq. miles	2003	12/1/2003	12968
Acadia NP	Maine	74 sq. miles	2004	1/1/2004	11861
Acadia NP	Maine	74 sq. miles	2004	2/1/2004	14266
Acadia NP	Maine	74 sq. miles	2004	3/1/2004	20952
Acadia NP	Maine	74 sq. miles	2004	4/1/2004	60180
Acadia NP	Maine	74 sq. miles	2004	5/1/2004	134597
Acadia NP	Maine	74 sq. miles	2004	6/1/2004	305134
Acadia NP	Maine	74 sq. miles	2004	7/1/2004	471406
Acadia NP	Maine	74 sq. miles	2004	8/1/2004	524675
Acadia NP	Maine	74 sq. miles	2004	9/1/2004	357146
Acadia NP	Maine	74 sq. miles	2004	10/1/2004	261284
Acadia NP	Maine	74 sq. miles	2004	11/1/2004	34125
Acadia NP	Maine	74 sq. miles	2004	12/1/2004	12221
Acadia NP	Maine	74 sq. miles	2005	1/1/2005	10810
Acadia NP	Maine	74 sq. miles	2005	2/1/2005	11831
Acadia NP	Maine	74 sq. miles	2005	3/1/2005	18917
Acadia NP	Maine	74 sq. miles	2005	4/1/2005	59773
Acadia NP	Maine	74 sq. miles	2005	5/1/2005	110330
Acadia NP	Maine	74 sq. miles	2005	6/1/2005	275175
Acadia NP	Maine	74 sq. miles	2005	7/1/2005	468512
Acadia NP	Maine	74 sq. miles	2005	8/1/2005	519350
Acadia NP	Maine	74 sq. miles	2005	9/1/2005	321070
Acadia NP	Maine	74 sq. miles	2005	10/1/2005	207599
Acadia NP	Maine	74 sq. miles	2005	11/1/2005	37101
Acadia NP	Maine	74 sq. miles	2005	12/1/2005	11016
Acadia NP	Maine	74 sq. miles	2006	1/1/2006	13494
Acadia NP	Maine	74 sq. miles	2006	2/1/2006	12924
Acadia NP	Maine	74 sq. miles	2006	3/1/2006	21695
Acadia NP	Maine	74 sq. miles	2006	4/1/2006	59034
Acadia NP	Maine	74 sq. miles	2006	5/1/2006	120889
Acadia NP	Maine	74 sq. miles	2006	6/1/2006	244333
Acadia NP	Maine	74 sq. miles	2006	7/1/2006	476631
Acadia NP	Maine	74 sq. miles	2006	8/1/2006	506833
Acadia NP	Maine	74 sq. miles	2006	9/1/2006	330649
Acadia NP	Maine	74 sq. miles	2006	10/1/2006	249850
Acadia NP	Maine	74 sq. miles	2006	11/1/2006	33903
Acadia NP	Maine	74 sq. miles	2006	12/1/2006	13353
Acadia NP	Maine	74 sq. miles	2007	1/1/2007	12415
Acadia NP	Maine	74 sq. miles	2007	2/1/2007	11068
Acadia NP	Maine	74 sq. miles	2007	3/1/2007	19220
Acadia NP	Maine	74 sq. miles	2007	4/1/2007	61775
Acadia NP	Maine	74 sq. miles	2007	5/1/2007	132152
Acadia NP	Maine	74 sq. miles	2007	6/1/2007	273765
Acadia NP	Maine	74 sq. miles	2007	7/1/2007	461894
Acadia NP	Maine	74 sq. miles	2007	8/1/2007	544892
Acadia NP	Maine	74 sq. miles	2007	9/1/2007	371217
Acadia NP	Maine	74 sq. miles	2007	10/1/2007	263311
Acadia NP	Maine	74 sq. miles	2007	11/1/2007	41449
Acadia NP	Maine	74 sq. miles	2007	12/1/2007	9070
Acadia NP	Maine	74 sq. miles	2008	1/1/2008	10744
Acadia NP	Maine	74 sq. miles	2008	2/1/2008	11131
Acadia NP	Maine	74 sq. miles	2008	3/1/2008	17489
Acadia NP	Maine	74 sq. miles	2008	4/1/2008	53798
Acadia NP	Maine	74 sq. miles	2008	5/1/2008	125679
Acadia NP	Maine	74 sq. miles	2008	6/1/2008	263542
Acadia NP	Maine	74 sq. miles	2008	7/1/2008	470295
Acadia NP	Maine	74 sq. miles	2008	8/1/2008	514443
Acadia NP	Maine	74 sq. miles	2008	9/1/2008	319582
Acadia NP	Maine	74 sq. miles	2008	10/1/2008	246533
Acadia NP	Maine	74 sq. miles	2008	11/1/2008	32759
Acadia NP	Maine	74 sq. miles	2008	12/1/2008	9862
Acadia NP	Maine	74 sq. miles	2009	1/1/2009	9366
Acadia NP	Maine	74 sq. miles	2009	2/1/2009	9751
Acadia NP	Maine	74 sq. miles	2009	3/1/2009	19258
Acadia NP	Maine	74 sq. miles	2009	4/1/2009	59277
Acadia NP	Maine	74 sq. miles	2009	5/1/2009	129885
Acadia NP	Maine	74 sq. miles	2009	6/1/2009	244780
Acadia NP	Maine	74 sq. miles	2009	7/1/2009	457622
Acadia NP	Maine	74 sq. miles	2009	8/1/2009	586446
Acadia NP	Maine	74 sq. miles	2009	9/1/2009	399789
Acadia NP	Maine	74 sq. miles	2009	10/1/2009	258007
Acadia NP	Maine	74 sq. miles	2009	11/1/2009	44042
Acadia NP	Maine	74 sq. miles	2009	12/1/2009	9475
Acadia NP	Maine	74 sq. miles	2010	1/1/2010	10510
